(Anonymous) Stat Unit ID,Hard Worker (0-5),Ambitious (0-5),Age,weight,height,Main hobbies
1933541,5,4,22,80,1.76,Roller skating
1933529,5,5,22,78,1.69,Gaming
31337,5,5,22,66,1.73,CTFs
2111409,5,5,23,89,1.93,Crafting
309200,5,5,23,96,1.76,Workout
1234567,5,5,21,84,1.76,Football
2150048,5,5,23,81,1.8,Skiing
1600,5,5,23,45,1.73,Pro gaming
1843916,5,4,24,100,1.8,Reading
1811290,5,4,24,95,1.78,Gaming
1888414,5,5,23,63,1.72,Gaming
2139837,5,5,21,82,1.89,Football
ZioSaba,4,4,25,63,1.68,Longboard
coder,5,4,22,72,1.81,Gym
2132174,5,6,22,60,1.6,Sports
1882582,5,5,22,67,1.58,Swimming
a contributor,4,5,25,72,1.86,Music
1813358,5,4,21,70,1.58,Gaming
anonymous,5,5,21,80,1.76,Sports
1941541,5,5,21,65,1.8,Music
2468100,5,5,23,54,1.65,Basketball
1933472,5,4,22,54,1.65,Gaming
X ̠ A-XII,4,4,21,72,1.86,Gym
3366,4,5,23,80,1.91,Books
24_10,4,3,24,70,1.95,Gaming
Jueia,5,4,25,77,1.9,Formula 1
1968050,4,5,23,70,1.58,Movies
2137544,4,4,22,65,1.8,Sports
1945109,2,3,22,54,1.65,Dancing
AnonymousBlades,4,4,27,72,1.86,Cooking
70704040,4,4,23,73,1.71,Sports
1842804,5,5,24,80,1.76,Sports
1947898,4,5,22,79,1.8,Music
2094810,4,4,25,90,1.9,Football
2133183,4,5,39,76,1.68,Trekking
Utente2807,4,5,26,85,1.82,Traveling
2107930,3,5,23,70,1.95,Hiking
2155672,4,5,22,77,1.9,Sports
1933420,4,4,22,72,1.94,Climbing
2141268,5,5,22,90,1.98,Videogames
Cheza,4,3,23,83,1.87,Origami
NisiOsiN,5,4,27,65,1.55,Hiking
1883018,4,5,23,70,1.58,Music
1946175,5,3,25,70,1.95,Cooking
101023,4,4,22,77,1.9,Movies
anonymousA,4,4,22,70,1.78,Music
novaavon,4,5,22,88,1.91,Reading
2117333,4,5,22,78,1.82,Tennis
1957045,4,4,21,79,1.8,Reading
Francesco Totti,5,5,23,76,1.72,Football
anon,4,4,23,85,1.82,Trekking
Alessandro del Piero ,3,3,26,70,1.95,Music
Lord Barty,4,5,27,77,1.9,Films
Q,4,5,23,75,1.7,Gym
1245,4,3,23,70,1.78,Sports
The Duck,5,5,23,88,1.91,Cooking
2126556,3,5,27,78,1.82,Surfing
4242564,4,5,24,79,1.8,Gaming
21124334,4,4,22,90,1.9,Gaming
,,,,,,
,,,,,,
,,,,,,
